username,isaPerson,userLocation,jobArea,screenName
@otodriver,nonperson,jabodetabek,hobi,otodriver
@palangmerah,nonperson,jabodetabek,kesehatan,palangmerah
@pegipegi,nonperson,jabodetabek,hospitality & tourism,pegipegi
@persib,nonperson,jawa barat dan banten,olahraga,persib
@polresjogja,nonperson,jawa tengah dan yogyakarta,sosial kemasyarakatan,polresjogja
@ngiqiq,person,kalimantan,sains dan teknologi,ngiqiq
@mrlogix,person,jawa timur,pendidikan dan penelitian,mrlogix
@SBYudhoyono,person,jabodetabek,sosial kemasyarakatan,SBYudhoyono
@DennyCagur,person,jabodetabek,hiburan,DennyCagur
@dr_tompi,person,jabodetabek,kesehatan,dr_tompi
@medantalk,nonperson,sumatera,media,medantalk
@KoranSinggalang,nonperson,sumatera,media,KoranSinggalang
@InfoPariaman,nonperson,sumatera,media,InfoPariaman
@InfoRanahMinang,nonperson,sumatera,media,InfoRanahMinang
@kabarsumbar_,nonperson,sumatera,media,kabarsumbar_
@SemenpadangFCID,nonperson,sumatera,olahraga,SemenpadangFCID
@SocMedSUMBAR,nonperson,sumatera,sosial kemasyarakatan,SocMedSUMBAR
@bukittinggiku,nonperson,sumatera,sosial kemasyarakatan,bukittinggiku
@kabaPADANG,nonperson,sumatera,media,kabaPADANG
@infoSumbar,nonperson,sumatera,media,infoSumbar
@minangkabauku,nonperson,sumatera,media,minangkabauku
@InfoTangsel,nonperson,jabodetabek,media,InfoTangsel
@HCID_Ciputat,nonperson,jabodetabek,sosial kemasyarakatan,HCID_Ciputat
@AreaPamulang,nonperson,jabodetabek,media,AreaPamulang
@TANGSELku,nonperson,jabodetabek,media,TANGSELku
@tangsel_info,nonperson,jabodetabek,media,tangsel_info
@info_tangsel,nonperson,jabodetabek,media,info_tangsel
@bsdcityofficial,nonperson,jabodetabek,media,bsdcityofficial
@TheIconBSD,nonperson,jabodetabek,media,TheIconBSD
@infogadingserpo,nonperson,jabodetabek,media,infogadingserpo
@BSD_terkini,nonperson,jabodetabek,media,BSD_terkini
@Kabar_Tangsel,nonperson,jabodetabek,media,Kabar_Tangsel
@act2give,nonperson,kalimantan,sosial kemasyarakatan,act2give
@kumham_kalbar,nonperson,kalimantan,sosial kemasyarakatan,kumham_kalbar
@DJPb_Kaltim,nonperson,kalimantan,sosial kemasyarakatan,DJPb_Kaltim
@dlhprovkaltim,nonperson,kalimantan,sosial kemasyarakatan,dlhprovkaltim
@JNE_Blitar,nonperson,kalimantan,sosial kemasyarakatan,JNE_Blitar
@bigmall_smd,nonperson,kalimantan,hospitality & tourism,bigmall_smd
@infokaltim_id,nonperson,kalimantan,media,infokaltim_id
@bawaslukalsel,nonperson,kalimantan,sosial kemasyarakatan,bawaslukalsel
@Kaltim123,nonperson,kalimantan,sosial kemasyarakatan,Kaltim123
@jelajahblitar,nonperson,kalimantan,hospitality & tourism,jelajahblitar
@kumham_kalsel,nonperson,kalimantan,sosial kemasyarakatan,kumham_kalsel
@AstonMakassar,nonperson,sulawesi,hospitality & tourism,AstonMakassar
@infoMKSR,nonperson,sulawesi,media,infoMKSR
@MakassarInfo_,nonperson,sulawesi,media,MakassarInfo_
@Makassar__INFO,nonperson,sulawesi,media,Makassar__INFO
@PramborsMKS,nonperson,sulawesi,hiburan,PramborsMKS
@MIsezGorontalo,nonperson,sulawesi,olahraga,MIsezGorontalo
@MI_sezPALU,nonperson,sulawesi,olahraga,MI_sezPALU
@Humaspolreskota,nonperson,sulawesi,sosial kemasyarakatan,Humaspolreskota
